Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
188,Josh Jackson\jacksjo02,PHO,$6041520,$7059480,$8930242,,,,1st Round Pick,$6041520
189,Jonathon Simmons\simmojo02,ORL,$6000000,$5700000,,,,,Cap space,$7000000
190,Ish Smith\smithis01,DET,$6000000,,,,,,Cap Space,$6000000
191,Jaren Jackson\jacksja02,MEM,$5915040,$6927480,$7257360,$9180560,,,1st Round Pick,$12842520
192,Brandon Ingram\ingrabr01,LAL,$5757120,$7265485,,,,,1st Round pick,$5757120
193,Anthony Tolliver\tollian01,MIN,$5750000,,,,,,MLE,$5750000
194,Kristaps Porzingis\porzikr01,NYK,$5697054,,,,,,1st round pick,$5697054
195,Deron Williams\willide01,BRK,$5474787,$5474787,,,,,,$10949574
196,Ben McLemore\mclembe01,SAC,$5460000,,,,,,MLE,$5460000
197,Alex Abrines\abrinal01,OKC,$5455236,,,,,,Cap Space,$5455236
198,Patrick Patterson\pattepa01,OKC,$5451600,$5711200,,,,,MLE,$5451600
199,Jason Smith\smithja02,WAS,$5450000,,,,,,Cap Space,$5450000
200,De'Aaron Fox\foxde01,SAC,$5407920,$6392760,$8099627,,,,1st Round Pick,$5407920
201,Marcus Morris\morrima03,BOS,$5375000,,,,,,Bird Rights,$5375000
202,Trae Young\youngtr01,ATL,$5356440,$6273000,$6571800,$8326471,,,1st Round Pick,$11629440
203,Dwight Howard\howardw01,WAS,$5337000,$5603850,,,,,MLE,$5337000
204,DeMarcus Cousins\couside01,GSW,$5337000,,,,,,MLE,$5337000
205,Josh Smith\smithjo03,DET,$5331729,$5331729,,,,,,$10663458
206,Alexis Ajinca\ajincal01,NOP,$5285394,,,,,,Early Bird Rights,$5285394
207,Thabo Sefolosha\sefolth01,UTA,$5250000,,,,,,Cap space,$5250000
208,Aron Baynes\baynear01,BOS,$5193600,$5453280,,,,,,$5193600
209,Jaylen Brown\brownja02,BOS,$5169960,$6534829,,,,,1st Rd pick,$5169960
210,Patrick Beverley\beverpa01,LAC,$5027028,,,,,,,
211,Tony Parker\parketo01,CHO,$5000000,$5000000,,,,,MLE,$10000000
212,Dirk Nowitzki\nowitdi01,DAL,$5000000,,,,,,Cap Space,$5000000
213,Mike Muscala\muscami01,ATL,$5000000,,,,,,Cap space,$5000000
214,Kyle Singler\singlky01,OKC,$4996000,$5333500,,,,,Bird Rights,$4996000
215,Jonathan Isaac\isaacjo01,ORL,$4969080,$5806440,$7362566,,,,1st Round Pick,$4969080
216,Mohamed Bamba\bambamo01,ORL,$4865040,$5697600,$5969040,$7568742,,,1st Round Pick,$24100422
217,Willie Cauley-Stein\caulewi01,SAC,$4696875,,,,,,1st round pick,$4696875
218,Dragan Bender\bendedr01,PHO,$4661280,$5896519,,,,,1st Round pick,$4661280
219,Ron Baker\bakerro01,NYK,$4544400,,,,,,Room Exception,$4544400
220,Lauri Markkanen\markkla01,CHI,$4536120,$5300400,$6731508,,,,1st Round Pick,$4536120
221,Lance Stephenson\stephla01,LAL,$4449000,,,,,,,$4449000
222,Kyle O'Quinn\oquinky01,IND,$4449000,,,,,,Room Exception,$4449000
223,Wendell Carter\cartewe01,CHI,$4441200,$5201400,$5448840,$6920027,,,1st Round Pick,$9642600
224,Ed Davis\davised01,BRK,$4400000,,,,,,Room Exception,$4400000
225,Justin Holiday\holidju01,CHI,$4384616,,,,,,MLE,$4384616
226,Luc Mbah a Moute\mbahalu01,LAC,$4320500,,,,,,MLE,$4320500
227,Mike Scott\scottmi01,LAC,$4320500,,,,,,MLE,$4320500
228,Emmanuel Mudiay\mudiaem01,NYK,$4294480,,,,,,1st round pick,$4294480
229,Kris Dunn\dunnkr01,CHI,$4221000,$5348007,,,,,1st Round pick,$4221000
230,Frank Ntilikina\ntilila01,NYK,$4155720,$4855800,$6176578,,,,1st Round Pick,$4155720
231,Glenn Robinson\robingl02,DET,$4150000,$4150000,,,,,MLE,$4150000
232,Collin Sexton\sextoco01,CLE,$4068600,$4764960,$4991880,$6349671,,,1st Round Pick,$8833560
233,Al Jefferson\jeffeal01,IND,$4000000,,,,,,,$4000000
234,Stanley Johnson\johnsst04,DET,$3940402,,,,,,1st round pick,$3940402
235,Buddy Hield\hieldbu01,SAC,$3833760,$4861208,,,,,1st Round pick,$3833760
236,Dennis Smith\smithde03,DAL,$3819960,$4463640,$5686677,,,,1st Round Pick,$3819960
237,Kevin Knox\knoxke01,NYK,$3739920,$4380120,$4588680,$5845978,,,1st Round Pick,$8120040
238,J.J. Barea\bareajo01,DAL,$3710850,,,,,,Cap Space,$3710850
239,Nene Hilario\hilarne01,HOU,$3651480,$3825360,,,,,Non-Bird Rights,$7476840
240,Zach Collins\colliza01,POR,$3628920,$4240200,$5406255,,,,1st Round Pick,$3628920
241,Frank Kaminsky\kaminfr01,CHO,$3627842,,,,,,1st round pick,$3627842
242,Mikal Bridges\bridgmi01,PHO,$3552960,$4161000,$4359000,$5557725,,,1st Round Pick,$7713960
243,Mirza Teletovic\teletmi01,MIL,$3500000,$3500000,$3500000,,,,,$10500000
244,Michael Beasley\beaslmi01,LAL,$3500000,,,,,,Room Exception,$3500000
245,Jamal Murray\murraja01,DEN,$3499800,$4444746,,,,,1st Round pick,$3499800
246,Jodie Meeks\meeksjo01,WAS,$3454500,,,,,,Bi-annual Exception,$3454500
247,Justise Winslow\winslju01,MIA,$3448926,,,,,,1st round pick,$3448926
248,Malik Monk\monkma01,CHO,$3447480,$4028400,$5345687,,,,1st Round Pick,$3447480
249,Myles Turner\turnemy01,IND,$3410284,,,,,,1st round pick,$3410284
250,Brook Lopez\lopezbr01,MIL,$3382000,,,,,,Bi-annual Exception,$3382000
251,Shai Gilgeous-Alexander\gilgesh01,LAC,$3375360,$3952920,$4141320,$5495532,,,1st Round Pick,$7328280
252,Trey Lyles\lylestr01,DEN,$3364249,,,,,,1st round pick,$3364249
253,Ekpe Udoh\udohek01,UTA,$3360000,,,,,,Room Exception,$3360000
254,Devin Booker\bookede01,PHO,$3314365,$27250000,$29430000,$31610000,$33790000,,1st round pick,$3314365
255,Luke Kennard\kennalu01,DET,$3275280,$3827160,$5273826,,,,1st Round Pick,$3275280
256,Cameron Payne\payneca01,CHI,$3263295,,,,,,1st round pick,$3263295
257,Troy Daniels\danietr01,PHO,$3258540,,,,,,Cap Space,$3258540
258,Kelly Oubre\oubreke01,WAS,$3208630,,,,,,1st round pick,$3208630
259,Miles Bridges\bridgmi02,CHO,$3206640,$3755400,$3934320,$5421493,,,1st Round Pick,$6962040
260,Marquese Chriss\chrisma01,PHO,$3206160,$4078236,,,,,1st Rd pick,$3206160
261,Tomas Satoransky\satorto01,WAS,$3129187,,,,,,Cap Space,$3129187
262,Bryn Forbes\forbebr01,SAS,$3125000,$2875000,,,,,Early Bird Rights,$6000000
263,Donovan Mitchell\mitchdo01,UTA,$3111480,$3635760,$5195501,,,,1st Round Pick,$3111480
264,Terry Rozier\roziete01,BOS,$3050390,,,,,,1st round pick,$3050390
265,Jerome Robinson\robinje01,LAC,$3046200,$3567720,$3737520,$5340916,,,1st Round Pick,$6613920
266,Bam Adebayo\adebaba01,MIA,$2955840,$3454080,$5115492,,,,1st Round Pick,$2955840
267,Jakob Poeltl\poeltja01,SAS,$2947320,$3754886,,,,,1st Round pick,$2947320
268,Michael Porter\portemi01,DEN,$2894160,$3389400,$3550800,$5258735,,,1st Round Pick,$6283560
269,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,$2844429,,,$17066574
270,Justin Jackson\jacksju01,SAC,$2807880,$3280920,$5029650,,,,1st Round Pick,$2807880
271,Thon Maker\makerth01,MIL,$2799720,$3569643,,,,,1st Round pick,$2799720
272,Seth Curry\curryse01,POR,$2795000,,,,,,MLE,$2795000
273,Cedi Osman\osmande01,CLE,$2775000,$2907143,,,,,MLE,$5682143
274,Sam Dekker\dekkesa01,LAC,$2760095,,,,,,1st Round pick,$2760095
275,Troy Brown\browntr01,WAS,$2749080,$3219480,$3372840,$5170564,,,1st Round Pick,$5968560
276,Elfrid Payton\paytoel01,NOP,$2700000,,,,,,Bi-annual Exception,$2700000
277,Justin Patton\pattoju01,MIN,$2667600,$3117240,$4781846,,,,1st Round Pick,$2667600
278,Guerschon Yabusele\yabusgu01,BOS,$2667600,$3117240,$4781846,,,,1st Round Pick,$2667600
279,Domantas Sabonis\sabondo01,IND,$2659800,$3529555,,,,,1st Round pick,$2659800
280,Jerian Grant\grantje02,ORL,$2639314,,,,,,1st Round pick,$2639314
281,Zhaire Smith\smithzh01,PHI,$2611800,$3058800,$3204600,$4915856,,,1st Round Pick,$5670600
282,Delon Wright\wrighde01,TOR,$2536898,,,,,,1st Round pick,$2536898
283,D.J. Wilson\wilsodj01,MIL,$2534280,$2961120,$4548280,,,,1st Round Pick,$2534280
284,Dario Saric\saricda01,PHI,$2526840,$3481986,,,,,1st Round pick,$2526840
285,Taurean Waller-Prince\princta02,ATL,$2526840,$3481986,,,,,1st Round pick,$2526840
286,Justin Anderson\anderju01,PHI,$2516048,,,,,,1st Round pick,$2516048
287,Manu Ginobili\ginobma01,SAS,$2500000,,,,,,,$2500000
288,Dante Cunningham\cunnida01,SAS,$2500000,,,,,,Bi-annual Exception,$2500000
289,Reggie Bullock\bullore01,DET,$2500000,,,,,,Cap space,$2500000
290,Bobby Portis\portibo01,CHI,$2494346,,,,,,1st Round pick,$2494346
291,Rondae Hollis-Jefferson\holliro01,BRK,$2470357,,,,,,1st Round pick,$2470357
292,Emeka Okafor\okafoem01,NOP,$2445085,,,,,,,
293,Tyus Jones\jonesty01,MIN,$2444053,,,,,,1st Round pick,$2444053
294,Jarell Martin\martija01,ORL,$2416222,,,,,,1st Round pick,$2416222
295,T.J. Leaf\leaftj01,IND,$2407560,$2813280,$4326825,,,,1st Round Pick,$2407560
296,Jeff Green\greenje02,WAS,$2393887,,,,,,Minimum Salary,$2393887
297,Amir Johnson\johnsam01,PHI,$2393887,,,,,,Minimum Salary,$2393887
298,Raymond Felton\feltora01,OKC,$2393887,,,,,,Minimum Salary,$2393887
299,Derrick Rose\rosede01,MIN,$2393887,,,,,,Minimum Salary,$2393887
300,JaVale McGee\mcgeeja01,LAL,$2393887,,,,,,Minimum Salary,$2393887
301,Gerald Green\greenge01,HOU,$2393887,,,,,,Minimum Salary,$2393887
302,Jose Calderon\caldejo01,DET,$2393887,,,,,,Minimum Salary,$2393887
303,Zaza Pachulia\pachuza01,DET,$2393887,,,,,,Minimum Salary,$2393887
304,Channing Frye\fryech01,CLE,$2393887,,,,,,Minimum Salary,$2393887
305,Lonnie Walker\walkelo01,SAS,$2357160,$2760480,$2892000,$4447896,,,1st Round Pick,$5117640
306,Jamal Crawford\crawfja01,ATL,$2304226,,,,,,,$2304226
307,John Collins\collijo01,ATL,$2299080,$2686560,$4137302,,,,1st Round Pick,$2299080
308,Denzel Valentine\valende01,CHI,$2280600,$3377569,,,,,1st Round pick,$2280600
309,Larry Nance\nancela02,CLE,$2272391,,,,,,1st Round pick,$2272391
310,Kevin Huerter\huertke01,ATL,$2250960,$2636280,$2761920,$4253357,,,1st Round Pick,$4887240
311,Monta Ellis\ellismo01,IND,$2245400,$2245400,$2245400,$2245400,,,,$8981600
312,Brandon Jennings\jennibr01,MIL,$2222803,,,,,,,
313,Harry Giles\gilesha01,SAC,$2207040,$2578800,$3976510,,,,1st Round Pick,$2207040
314,Darius Miller\milleda01,NOP,$2205000,,,,,,,
315,Juan Hernangomez\hernaju01,DEN,$2166360,$3321030,,,,,1st Round pick,$2166360
316,Jonas Jerebko\jerebjo01,GSW,$2165481,,,,,,Minimum Salary,$2165481
317,Josh Okogie\okogijo01,MIN,$2160720,$2530680,$2651040,$4087904,,,1st Round Pick,$4691400
318,Raul Neto\netora01,UTA,$2150000,$2150000,,,,,,$2150000
319,Matt Barnes\barnema02,SAC,$2133542,$2133541,,,,,,$4267083
320,Terrance Ferguson\fergute01,OKC,$2118840,$2475840,$3944013,,,,1st Round Pick,$2118840
321,Omri Casspi\casspom01,MEM,$2116955,,,,,,Minimum Salary,$2116955
322,Grayson Allen\allengr01,UTA,$2074320,$2429400,$2545320,$4054695,,,1st Round Pick,$4503720
323,Jarrett Allen\allenja01,BRK,$2034120,$2376840,$3909902,,,,1st Round Pick,$2034120
324,Isaiah Thomas\thomais02,DEN,$2029463,,,,,,Minimum Salary,$2029463
325,Spencer Hawes\hawessp01,MIL,$2007058,$2007058,,,,,,$4014116
326,Georgios Papagiannis\papagge01,SAC,$2000400,,,,,,,$2000400
327,Torrey Craig\craigto01,DEN,$2000000,$2100000,,,,,MLE,$4100000
328,Chandler Hutchison\hutchch01,CHI,$1991520,$2332320,$2443440,$4019459,,,1st Round Pick,$4323840
329,OG Anunoby\anunoog01,TOR,$1952760,$2281800,$3872215,,,,1st Round Pick,$1952760
330,Ante Zizic\zizican01,CLE,$1952760,$2281800,$3872215,,,,1st Round Pick,$1952760
331,Shabazz Napier\napiesh01,BRK,$1942422,$1845301,,,,,Cap Space,$1942422
332,Tyler Zeller\zellety01,MIL,$1933941,,,,,,,
